top_k_titles	top_k_title_percent	cumulative_exact_hits	total_exact_hits	exact_coverage_percent
175	69.444444	25297	25360	99.751577
176	69.84127	25299	25360	99.759464
177	70.238095	25301	25360	99.76735
178	70.634921	25303	25360	99.775237
179	71.031746	25305	25360	99.783123
180	71.428571	25307	25360	99.791009
181	71.825397	25309	25360	99.798896
182	72.222222	25311	25360	99.806782
183	72.619048	25313	25360	99.814669
184	73.015873	25314	25360	99.818612
185	73.412698	25315	25360	99.822555
186	73.809524	25316	25360	99.826498
187	74.206349	25317	25360	99.830442
188	74.603175	25318	25360	99.834385
189	75.0	25319	25360	99.838328
190	75.396825	25320	25360	99.842271
191	75.793651	25321	25360	99.846215
192	76.190476	25322	25360	99.850158
193	76.587302	25323	25360	99.854101
194	76.984127	25324	25360	99.858044
195	77.380952	25325	25360	99.861987
196	77.777778	25326	25360	99.865931
197	78.174603	25327	25360	99.869874
198	78.571429	25328	25360	99.873817
199	78.968254	25329	25360	99.87776
200	79.365079	25330	25360	99.881703
201	79.761905	25331	25360	99.885647
202	80.15873	25332	25360	99.88959
203	80.555556	25333	25360	99.893533
204	80.952381	25334	25360	99.897476
205	81.349206	25335	25360	99.90142
206	81.746032	25336	25360	99.905363
207	82.142857	25337	25360	99.909306
208	82.539683	25338	25360	99.913249
209	82.936508	25339	25360	99.917192
210	83.333333	25340	25360	99.921136
211	83.730159	25341	25360	99.925079
212	84.126984	25342	25360	99.929022
213	84.52381	25343	25360	99.932965
214	84.920635	25344	25360	99.936909
215	85.31746	25345	25360	99.940852
216	85.714286	25346	25360	99.944795
217	86.111111	25347	25360	99.948738
218	86.507937	25348	25360	99.952681
219	86.904762	25349	25360	99.956625
220	87.301587	25350	25360	99.960568
221	87.698413	25351	25360	99.964511
222	88.095238	25352	25360	99.968454
223	88.492063	25353	25360	99.972397
224	88.888889	25354	25360	99.976341
225	89.285714	25355	25360	99.980284
226	89.68254	25356	25360	99.984227
227	90.079365	25357	25360	99.98817
228	90.47619	25358	25360	99.992114
229	90.873016	25359	25360	99.996057
230	91.269841	25360	25360	100.0
231	91.666667	25360	25360	100.0
232	92.063492	25360	25360	100.0
233	92.460317	25360	25360	100.0
234	92.857143	25360	25360	100.0
235	93.253968	25360	25360	100.0
236	93.650794	25360	25360	100.0
237	94.047619	25360	25360	100.0
238	94.444444	25360	25360	100.0
239	94.84127	25360	25360	100.0
240	95.238095	25360	25360	100.0
241	95.634921	25360	25360	100.0
242	96.031746	25360	25360	100.0
243	96.428571	25360	25360	100.0
244	96.825397	25360	25360	100.0
245	97.222222	25360	25360	100.0
246	97.619048	25360	25360	100.0
247	98.015873	25360	25360	100.0
248	98.412698	25360	25360	100.0
249	98.809524	25360	25360	100.0
250	99.206349	25360	25360	100.0
251	99.603175	25360	25360	100.0
252	100.0	25360	25360	100.0
