metric	bin	title_count
exact name	0	22
exact name	1	47
exact name	2	28
exact name	3–5	28
exact name	6–10	21
exact name	11–20	22
exact name	21–50	26
exact name	51–100	16
exact name	101–200	15
exact name	201–500	13
exact name	501–1000	8
exact name	1001+	6
any match	0	0
any match	1	45
any match	2	27
any match	3–5	27
any match	6–10	20
any match	11–20	20
any match	21–50	25
any match	51–100	16
any match	101–200	17
any match	201–500	14
any match	501–1000	13
any match	1001+	28
