top_k_percent	selected_titles	actual_titles_percent	cumulative_exact_hits	total_exact_hits	exact_coverage_percent
1	3	1.1905	6898	25360	27.2003
5	13	5.1587	15736	25360	62.0505
10	26	10.3175	20362	25360	80.2918
25	63	25.0	24086	25360	94.9763
50	126	50.0	25147	25360	99.1601
75	189	75.0	25319	25360	99.8383
100	252	100.0	25360	25360	100.0
